,,target_frequency_this_year,top_3_sources
2009,I102197404,891,"[{'source_id': 'I1294671590', 'count': 125}, {'source_id': 'I2738703131', 'count': 28}, {'source_id': 'I3020098449', 'count': 26}]"
2009,I4210085935,842,"[{'source_id': 'I1294671590', 'count': 45}, {'source_id': 'I159176309', 'count': 21}, {'source_id': 'I189712700', 'count': 18}]"
2009,I2738703131,622,"[{'source_id': 'I1294671590', 'count': 78}, {'source_id': 'I3020098449', 'count': 45}, {'source_id': 'I4210124948', 'count': 38}]"
2010,I1294671590,2189,"[{'source_id': 'I102197404', 'count': 81}, {'source_id': 'I177483745', 'count': 73}, {'source_id': 'I2738703131', 'count': 69}]"
2010,I4210085935,890,"[{'source_id': 'I1294671590', 'count': 44}, {'source_id': 'I189712700', 'count': 25}, {'source_id': 'I159176309', 'count': 23}]"
2010,I201537933,888,"[{'source_id': 'I4210159876', 'count': 32}, {'source_id': 'I4387152242', 'count': 30}, {'source_id': 'I4210086780', 'count': 26}]"
2010,I102197404,866,"[{'source_id': 'I1294671590', 'count': 92}, {'source_id': 'I2799857465', 'count': 24}, {'source_id': 'I108714496', 'count': 24}]"
2010,I2738703131,778,"[{'source_id': 'I1294671590', 'count': 69}, {'source_id': 'I3020098449', 'count': 40}, {'source_id': 'I177483745', 'count': 38}]"
2011,I1294671590,2633,"[{'source_id': 'I2738703131', 'count': 153}, {'source_id': 'I177483745', 'count': 123}, {'source_id': 'I4210124948', 'count': 109}]"
2011,I102197404,1331,"[{'source_id': 'I1294671590', 'count': 159}, {'source_id': 'I2738703131', 'count': 80}, {'source_id': 'I177483745', 'count': 66}]"
2011,I201537933,1289,"[{'source_id': 'I4210086780', 'count': 55}, {'source_id': 'I1294671590', 'count': 45}, {'source_id': 'I4387152242', 'count': 32}]"
2011,I4210085935,1030,"[{'source_id': 'I1294671590', 'count': 61}, {'source_id': 'I2738703131', 'count': 32}, {'source_id': 'I177483745', 'count': 29}]"
2011,I2738703131,986,"[{'source_id': 'I1294671590', 'count': 97}, {'source_id': 'I4210124948', 'count': 61}, {'source_id': 'I3020098449', 'count': 61}]"
2012,I1294671590,2890,"[{'source_id': 'I102197404', 'count': 200}, {'source_id': 'I177483745', 'count': 81}, {'source_id': 'I2738703131', 'count': 68}]"
2012,I201537933,1384,"[{'source_id': 'I4210125833', 'count': 80}, {'source_id': 'I4210086780', 'count': 71}, {'source_id': 'I1294671590', 'count': 55}]"
2012,I2738703131,1076,"[{'source_id': 'I1294671590', 'count': 135}, {'source_id': 'I102197404', 'count': 45}, {'source_id': 'I177483745', 'count': 43}]"
2012,I102197404,1044,"[{'source_id': 'I1294671590', 'count': 200}, {'source_id': 'I83019370', 'count': 25}, {'source_id': 'I2799857465', 'count': 23}]"
2012,I4210085935,810,"[{'source_id': 'I1294671590', 'count': 47}, {'source_id': 'I165932596', 'count': 21}, {'source_id': 'I22299242', 'count': 20}]"
2013,I1294671590,2929,"[{'source_id': 'I102197404', 'count': 181}, {'source_id': 'I2738703131', 'count': 97}, {'source_id': 'I4210120156', 'count': 85}]"
2013,I201537933,1883,"[{'source_id': 'I4210086780', 'count': 109}, {'source_id': 'I4210125833', 'count': 76}, {'source_id': 'I1294671590', 'count': 67}]"
2013,I102197404,1224,"[{'source_id': 'I1294671590', 'count': 197}, {'source_id': 'I4210120156', 'count': 68}, {'source_id': 'I2738703131', 'count': 29}]"
2013,I2738703131,1097,"[{'source_id': 'I1294671590', 'count': 96}, {'source_id': 'I3020098449', 'count': 43}, {'source_id': 'I4210124948', 'count': 43}]"
2013,I205783295,880,"[{'source_id': 'I1294671590', 'count': 43}, {'source_id': 'I1321296531', 'count': 29}, {'source_id': 'I2738703131', 'count': 25}]"
2014,I1294671590,3112,"[{'source_id': 'I102197404', 'count': 169}, {'source_id': 'I2738703131', 'count': 134}, {'source_id': 'I4210135251', 'count': 86}]"
2014,I201537933,1736,"[{'source_id': 'I4210086780', 'count': 71}, {'source_id': 'I4210125833', 'count': 59}, {'source_id': 'I52099693', 'count': 50}]"
2014,I102197404,1368,"[{'source_id': 'I1294671590', 'count': 172}, {'source_id': 'I82880672', 'count': 48}, {'source_id': 'I4210120156', 'count': 43}]"
2014,I2738703131,1251,"[{'source_id': 'I1294671590', 'count': 115}, {'source_id': 'I3020098449', 'count': 62}, {'source_id': 'I4210135251', 'count': 61}]"
2014,I205783295,896,"[{'source_id': 'I1294671590', 'count': 36}, {'source_id': 'I2738703131', 'count': 27}, {'source_id': 'I73613424', 'count': 26}]"
2015,I1294671590,3649,"[{'source_id': 'I102197404', 'count': 153}, {'source_id': 'I2738703131', 'count': 97}, {'source_id': 'I3020098449', 'count': 88}]"
2015,I201537933,1754,"[{'source_id': 'I4210086780', 'count': 95}, {'source_id': 'I4387152242', 'count': 81}, {'source_id': 'I4210094683', 'count': 76}]"
2015,I102197404,1735,"[{'source_id': 'I1294671590', 'count': 175}, {'source_id': 'I2738703131', 'count': 51}, {'source_id': 'I82880672', 'count': 50}]"
2015,I2738703131,1092,"[{'source_id': 'I1294671590', 'count': 112}, {'source_id': 'I3020098449', 'count': 39}, {'source_id': 'I4210135251', 'count': 38}]"
2015,I74801974,860,"[{'source_id': 'I4210132156', 'count': 63}, {'source_id': 'I4210086780', 'count': 24}, {'source_id': 'I197323543', 'count': 23}]"
2016,I1294671590,4144,"[{'source_id': 'I277688954', 'count': 174}, {'source_id': 'I102197404', 'count': 173}, {'source_id': 'I899635006', 'count': 107}]"
2016,I201537933,2230,"[{'source_id': 'I4210094683', 'count': 77}, {'source_id': 'I161318765', 'count': 73}, {'source_id': 'I4210086780', 'count': 69}]"
2016,I102197404,2025,"[{'source_id': 'I1294671590', 'count': 196}, {'source_id': 'I277688954', 'count': 110}, {'source_id': 'I82880672', 'count': 68}]"
2016,I2738703131,1387,"[{'source_id': 'I1294671590', 'count': 121}, {'source_id': 'I899635006', 'count': 62}, {'source_id': 'I3020098449', 'count': 59}]"
2016,I74801974,1185,"[{'source_id': 'I4210132156', 'count': 35}, {'source_id': 'I1343871089', 'count': 30}, {'source_id': 'I62916508', 'count': 28}]"
2017,I1294671590,4991,"[{'source_id': 'I899635006', 'count': 160}, {'source_id': 'I277688954', 'count': 159}, {'source_id': 'I2738703131', 'count': 157}]"
2017,I102197404,2423,"[{'source_id': 'I1294671590', 'count': 196}, {'source_id': 'I277688954', 'count': 108}, {'source_id': 'I82880672', 'count': 60}]"
2017,I201537933,2268,"[{'source_id': 'I4210125833', 'count': 137}, {'source_id': 'I4210094683', 'count': 68}, {'source_id': 'I205401836', 'count': 62}]"
2017,I2738703131,1737,"[{'source_id': 'I1294671590', 'count': 136}, {'source_id': 'I899635006', 'count': 108}, {'source_id': 'I3020098449', 'count': 107}]"
2017,I3020098449,1400,"[{'source_id': 'I1294671590', 'count': 110}, {'source_id': 'I899635006', 'count': 94}, {'source_id': 'I2738703131', 'count': 93}]"
2018,I1294671590,5731,"[{'source_id': 'I899635006', 'count': 177}, {'source_id': 'I3020098449', 'count': 168}, {'source_id': 'I4210135251', 'count': 168}]"
2018,I102197404,2790,"[{'source_id': 'I1294671590', 'count': 200}, {'source_id': 'I277688954', 'count': 97}, {'source_id': 'I82880672', 'count': 74}]"
2018,I201537933,2415,"[{'source_id': 'I4210125833', 'count': 115}, {'source_id': 'I205401836', 'count': 114}, {'source_id': 'I1294671590', 'count': 70}]"
2018,I2738703131,2066,"[{'source_id': 'I1294671590', 'count': 152}, {'source_id': 'I3020098449', 'count': 121}, {'source_id': 'I4210135251', 'count': 121}]"
2018,I3020098449,1712,"[{'source_id': 'I1294671590', 'count': 127}, {'source_id': 'I4210135251', 'count': 108}, {'source_id': 'I2738703131', 'count': 108}]"
2019,I1294671590,5367,"[{'source_id': 'I277688954', 'count': 179}, {'source_id': 'I102197404', 'count': 132}, {'source_id': 'I82880672', 'count': 129}]"
2019,I102197404,2779,"[{'source_id': 'I1294671590', 'count': 185}, {'source_id': 'I277688954', 'count': 106}, {'source_id': 'I82880672', 'count': 66}]"
2019,I201537933,1923,"[{'source_id': 'I74801974', 'count': 59}, {'source_id': 'I82880672', 'count': 52}, {'source_id': 'I73613424', 'count': 50}]"
2019,I2738703131,1768,"[{'source_id': 'I1294671590', 'count': 116}, {'source_id': 'I899635006', 'count': 55}, {'source_id': 'I277688954', 'count': 46}]"
2019,I3020098449,1501,"[{'source_id': 'I1294671590', 'count': 88}, {'source_id': 'I899635006', 'count': 53}, {'source_id': 'I2738703131', 'count': 44}]"
2020,I1294671590,5178,"[{'source_id': 'I277688954', 'count': 119}, {'source_id': 'I4210132156', 'count': 77}, {'source_id': 'I82880672', 'count': 77}]"
2020,I102197404,2505,"[{'source_id': 'I1294671590', 'count': 121}, {'source_id': 'I277688954', 'count': 80}, {'source_id': 'I82880672', 'count': 50}]"
2020,I201537933,1990,"[{'source_id': 'I4210125833', 'count': 86}, {'source_id': 'I4210165038', 'count': 57}, {'source_id': 'I52099693', 'count': 50}]"
2020,I74801974,1598,"[{'source_id': 'I4210132156', 'count': 132}, {'source_id': 'I19820366', 'count': 42}, {'source_id': 'I201537933', 'count': 41}]"
2020,I2738703131,1537,"[{'source_id': 'I1294671590', 'count': 93}, {'source_id': 'I899635006', 'count': 48}, {'source_id': 'I35440088', 'count': 35}]"
2021,I1294671590,5730,"[{'source_id': 'I899635006', 'count': 188}, {'source_id': 'I2738703131', 'count': 158}, {'source_id': 'I4210135251', 'count': 158}]"
2021,I102197404,2606,"[{'source_id': 'I1294671590', 'count': 150}, {'source_id': 'I899635006', 'count': 68}, {'source_id': 'I19820366', 'count': 62}]"
2021,I201537933,2369,"[{'source_id': 'I4210125833', 'count': 145}, {'source_id': 'I19820366', 'count': 80}, {'source_id': 'I205401836', 'count': 76}]"
2021,I2738703131,1986,"[{'source_id': 'I1294671590', 'count': 138}, {'source_id': 'I899635006', 'count': 99}, {'source_id': 'I4210135251', 'count': 85}]"
2021,I74801974,1951,"[{'source_id': 'I4210132156', 'count': 99}, {'source_id': 'I19820366', 'count': 83}, {'source_id': 'I201537933', 'count': 57}]"
2022,I1294671590,5328,"[{'source_id': 'I19820366', 'count': 124}, {'source_id': 'I35440088', 'count': 123}, {'source_id': 'I277688954', 'count': 111}]"
2022,I102197404,2236,"[{'source_id': 'I1294671590', 'count': 96}, {'source_id': 'I19820366', 'count': 83}, {'source_id': 'I277688954', 'count': 56}]"
2022,I201537933,2208,"[{'source_id': 'I19820366', 'count': 115}, {'source_id': 'I82880672', 'count': 90}, {'source_id': 'I74801974', 'count': 77}]"
2022,I74801974,2130,"[{'source_id': 'I205349734', 'count': 195}, {'source_id': 'I19820366', 'count': 104}, {'source_id': 'I82880672', 'count': 61}]"
2022,I2738703131,1646,"[{'source_id': 'I1294671590', 'count': 80}, {'source_id': 'I899635006', 'count': 64}, {'source_id': 'I35440088', 'count': 62}]"
2023,I1294671590,4553,"[{'source_id': 'I277688954', 'count': 172}, {'source_id': 'I19820366', 'count': 130}, {'source_id': 'I4210165038', 'count': 116}]"
2023,I201537933,2283,"[{'source_id': 'I4210165038', 'count': 122}, {'source_id': 'I4210094683', 'count': 89}, {'source_id': 'I74801974', 'count': 85}]"
2023,I74801974,1993,"[{'source_id': 'I205349734', 'count': 93}, {'source_id': 'I201537933', 'count': 78}, {'source_id': 'I4210132156', 'count': 62}]"
2023,I102197404,1848,"[{'source_id': 'I1294671590', 'count': 123}, {'source_id': 'I19820366', 'count': 71}, {'source_id': 'I277688954', 'count': 67}]"
2023,I205783295,1595,"[{'source_id': 'I19820366', 'count': 157}, {'source_id': 'I4210165038', 'count': 136}, {'source_id': 'I4210149211', 'count': 100}]"
2024,I1294671590,4458,"[{'source_id': 'I19820366', 'count': 105}, {'source_id': 'I277688954', 'count': 96}, {'source_id': 'I47686490', 'count': 92}]"
2024,I74801974,2017,"[{'source_id': 'I205349734', 'count': 183}, {'source_id': 'I19820366', 'count': 61}, {'source_id': 'I4210132156', 'count': 54}]"
2024,I201537933,1927,"[{'source_id': 'I205401836', 'count': 73}, {'source_id': 'I19820366', 'count': 69}, {'source_id': 'I1294671590', 'count': 57}]"
2024,I19820366,1755,"[{'source_id': 'I4210165038', 'count': 125}, {'source_id': 'I4210159876', 'count': 100}, {'source_id': 'I143868143', 'count': 53}]"
2024,I102197404,1647,"[{'source_id': 'I1294671590', 'count': 99}, {'source_id': 'I19820366', 'count': 51}, {'source_id': 'I47686490', 'count': 43}]"
2025,I1294671590,3657,"[{'source_id': 'I19820366', 'count': 87}, {'source_id': 'I277688954', 'count': 85}, {'source_id': 'I82880672', 'count': 64}]"
2025,I74801974,2110,"[{'source_id': 'I4210132156', 'count': 81}, {'source_id': 'I201537933', 'count': 79}, {'source_id': 'I205349734', 'count': 69}]"
2025,I19820366,1837,"[{'source_id': 'I92403157', 'count': 61}, {'source_id': 'I4210165038', 'count': 56}, {'source_id': 'I4210149211', 'count': 56}]"
2025,I201537933,1803,"[{'source_id': 'I19820366', 'count': 52}, {'source_id': 'I74801974', 'count': 43}, {'source_id': 'I82880672', 'count': 43}]"
2025,I197323543,1405,"[{'source_id': 'I19820366', 'count': 38}, {'source_id': 'I277688954', 'count': 32}, {'source_id': 'I99065089', 'count': 30}]"
