,,target_frequency_this_year,top_3_sources
2014,I122411786,3152,"[{'source_id': 'I4210127646', 'count': 192}, {'source_id': 'I1294671590', 'count': 132}, {'source_id': 'I241749', 'count': 83}]"
2014,I4210127646,1690,"[{'source_id': 'I122411786', 'count': 123}, {'source_id': 'I149899117', 'count': 86}, {'source_id': 'I1294671590', 'count': 75}]"
2014,I1294671590,1523,"[{'source_id': 'I2801766991', 'count': 90}, {'source_id': 'I204730241', 'count': 56}, {'source_id': 'I122411786', 'count': 55}]"
2014,I149899117,1519,"[{'source_id': 'I4210127646', 'count': 110}, {'source_id': 'I122411786', 'count': 85}, {'source_id': 'I1294671590', 'count': 69}]"
2014,I205783295,1204,"[{'source_id': 'I1294671590', 'count': 52}, {'source_id': 'I122411786', 'count': 36}, {'source_id': 'I4210127646', 'count': 36}]"
2015,I122411786,2974,"[{'source_id': 'I4210127646', 'count': 165}, {'source_id': 'I185261750', 'count': 80}, {'source_id': 'I4210110940', 'count': 80}]"
2015,I1294671590,1723,"[{'source_id': 'I4210127646', 'count': 85}, {'source_id': 'I204730241', 'count': 50}, {'source_id': 'I2801766991', 'count': 50}]"
2015,I4210127646,1715,"[{'source_id': 'I122411786', 'count': 122}, {'source_id': 'I149899117', 'count': 60}, {'source_id': 'I241749', 'count': 54}]"
2015,I1299164729,1549,"[{'source_id': 'I4210146430', 'count': 121}, {'source_id': 'I1292875679', 'count': 118}, {'source_id': 'I4210158571', 'count': 115}]"
2015,I149899117,1546,"[{'source_id': 'I4210127646', 'count': 116}, {'source_id': 'I122411786', 'count': 71}, {'source_id': 'I1294671590', 'count': 57}]"
2016,I122411786,4378,"[{'source_id': 'I4210127646', 'count': 231}, {'source_id': 'I4210110940', 'count': 104}, {'source_id': 'I1294671590', 'count': 100}]"
2016,I1294671590,1925,"[{'source_id': 'I122411786', 'count': 99}, {'source_id': 'I2801766991', 'count': 72}, {'source_id': 'I39804081', 'count': 70}]"
2016,I4210127646,1739,"[{'source_id': 'I122411786', 'count': 216}, {'source_id': 'I114090438', 'count': 49}, {'source_id': 'I114112103', 'count': 45}]"
2016,I149899117,1523,"[{'source_id': 'I122411786', 'count': 122}, {'source_id': 'I4210127646', 'count': 90}, {'source_id': 'I1294671590', 'count': 51}]"
2016,I1299164729,1352,"[{'source_id': 'I4210158571', 'count': 81}, {'source_id': 'I28407311', 'count': 49}, {'source_id': 'I1292875679', 'count': 46}]"
2017,I122411786,5363,"[{'source_id': 'I4210127646', 'count': 345}, {'source_id': 'I155173764', 'count': 142}, {'source_id': 'I79619799', 'count': 120}]"
2017,I1294671590,2014,"[{'source_id': 'I204730241', 'count': 81}, {'source_id': 'I169173203', 'count': 75}, {'source_id': 'I2746051580', 'count': 75}]"
2017,I4210127646,1822,"[{'source_id': 'I122411786', 'count': 166}, {'source_id': 'I155173764', 'count': 77}, {'source_id': 'I114112103', 'count': 60}]"
2017,I149899117,1445,"[{'source_id': 'I4210127646', 'count': 86}, {'source_id': 'I122411786', 'count': 82}, {'source_id': 'I155173764', 'count': 32}]"
2017,I1299164729,1241,"[{'source_id': 'I1292875679', 'count': 79}, {'source_id': 'I4210146430', 'count': 79}, {'source_id': 'I57093077', 'count': 64}]"
2018,I122411786,8024,"[{'source_id': 'I4210127646', 'count': 439}, {'source_id': 'I4210126807', 'count': 193}, {'source_id': 'I63966007', 'count': 156}]"
2018,I1294671590,2298,"[{'source_id': 'I4210127646', 'count': 69}, {'source_id': 'I122411786', 'count': 52}, {'source_id': 'I204730241', 'count': 51}]"
2018,I4210127646,2160,"[{'source_id': 'I114112103', 'count': 103}, {'source_id': 'I122411786', 'count': 93}, {'source_id': 'I4210093566', 'count': 66}]"
2018,I149899117,1575,"[{'source_id': 'I4210127646', 'count': 118}, {'source_id': 'I122411786', 'count': 57}, {'source_id': 'I114112103', 'count': 49}]"
2018,I4210158571,1384,"[{'source_id': 'I28407311', 'count': 82}, {'source_id': 'I57093077', 'count': 40}, {'source_id': 'I122411786', 'count': 37}]"
2019,I122411786,8296,"[{'source_id': 'I4210127646', 'count': 331}, {'source_id': 'I43439940', 'count': 200}, {'source_id': 'I4210126807', 'count': 176}]"
2019,I4210127646,2505,"[{'source_id': 'I122411786', 'count': 192}, {'source_id': 'I114112103', 'count': 142}, {'source_id': 'I43439940', 'count': 102}]"
2019,I1294671590,2356,"[{'source_id': 'I122411786', 'count': 101}, {'source_id': 'I43439940', 'count': 69}, {'source_id': 'I4210127646', 'count': 43}]"
2019,I20089843,1629,"[{'source_id': 'I122411786', 'count': 74}, {'source_id': 'I157725225', 'count': 51}, {'source_id': 'I43439940', 'count': 48}]"
2019,I149899117,1579,"[{'source_id': 'I122411786', 'count': 91}, {'source_id': 'I4210127646', 'count': 75}, {'source_id': 'I43439940', 'count': 48}]"
2020,I122411786,8997,"[{'source_id': 'I4210127646', 'count': 434}, {'source_id': 'I4210126807', 'count': 304}, {'source_id': 'I56590836', 'count': 217}]"
2020,I4210127646,2858,"[{'source_id': 'I114112103', 'count': 204}, {'source_id': 'I122411786', 'count': 179}, {'source_id': 'I4210126807', 'count': 92}]"
2020,I1294671590,2730,"[{'source_id': 'I39804081', 'count': 96}, {'source_id': 'I2801766991', 'count': 88}, {'source_id': 'I4210127646', 'count': 76}]"
2020,I20089843,1512,"[{'source_id': 'I122411786', 'count': 53}, {'source_id': 'I4210127646', 'count': 44}, {'source_id': 'I1294671590', 'count': 41}]"
2020,I149899117,1504,"[{'source_id': 'I4210127646', 'count': 76}, {'source_id': 'I122411786', 'count': 69}, {'source_id': 'I114112103', 'count': 41}]"
2021,I122411786,10528,"[{'source_id': 'I4210127646', 'count': 441}, {'source_id': 'I1294671590', 'count': 244}, {'source_id': 'I114112103', 'count': 221}]"
2021,I4210127646,3699,"[{'source_id': 'I122411786', 'count': 285}, {'source_id': 'I114112103', 'count': 230}, {'source_id': 'I50441567', 'count': 158}]"
2021,I1294671590,3412,"[{'source_id': 'I122411786', 'count': 127}, {'source_id': 'I4210127646', 'count': 99}, {'source_id': 'I2738703131', 'count': 91}]"
2021,I20089843,1597,"[{'source_id': 'I122411786', 'count': 52}, {'source_id': 'I4210127646', 'count': 50}, {'source_id': 'I157725225', 'count': 50}]"
2021,I149899117,1553,"[{'source_id': 'I4210127646', 'count': 109}, {'source_id': 'I122411786', 'count': 78}, {'source_id': 'I114112103', 'count': 50}]"
2022,I122411786,9594,"[{'source_id': 'I4210127646', 'count': 443}, {'source_id': 'I114112103', 'count': 172}, {'source_id': 'I1294671590', 'count': 163}]"
2022,I1294671590,3801,"[{'source_id': 'I4210127646', 'count': 116}, {'source_id': 'I122411786', 'count': 82}, {'source_id': 'I277688954', 'count': 74}]"
2022,I4210127646,3658,"[{'source_id': 'I122411786', 'count': 243}, {'source_id': 'I114112103', 'count': 163}, {'source_id': 'I50441567', 'count': 99}]"
2022,I19820366,1711,"[{'source_id': 'I4210165038', 'count': 152}, {'source_id': 'I4210164580', 'count': 108}, {'source_id': 'I20231570', 'count': 71}]"
2022,I20089843,1630,"[{'source_id': 'I157725225', 'count': 43}, {'source_id': 'I4210127646', 'count': 41}, {'source_id': 'I122411786', 'count': 33}]"
2023,I122411786,9083,"[{'source_id': 'I4210127646', 'count': 439}, {'source_id': 'I4210126807', 'count': 200}, {'source_id': 'I1294671590', 'count': 151}]"
2023,I4210127646,3955,"[{'source_id': 'I114112103', 'count': 154}, {'source_id': 'I122411786', 'count': 98}, {'source_id': 'I4210126807', 'count': 96}]"
2023,I1294671590,3912,"[{'source_id': 'I4210127646', 'count': 189}, {'source_id': 'I2801766991', 'count': 99}, {'source_id': 'I122411786', 'count': 71}]"
2023,I19820366,1754,"[{'source_id': 'I4210165038', 'count': 153}, {'source_id': 'I4210164580', 'count': 84}, {'source_id': 'I25254941', 'count': 51}]"
2023,I20089843,1708,"[{'source_id': 'I4210127646', 'count': 81}, {'source_id': 'I122411786', 'count': 49}, {'source_id': 'I183974707', 'count': 45}]"
2024,I122411786,8160,"[{'source_id': 'I4210127646', 'count': 351}, {'source_id': 'I130769515', 'count': 229}, {'source_id': 'I193662353', 'count': 150}]"
2024,I4210127646,3868,"[{'source_id': 'I114112103', 'count': 123}, {'source_id': 'I122411786', 'count': 118}, {'source_id': 'I130769515', 'count': 115}]"
2024,I1294671590,3591,"[{'source_id': 'I4210127646', 'count': 125}, {'source_id': 'I2801766991', 'count': 88}, {'source_id': 'I161318765', 'count': 51}]"
2024,I19820366,1665,"[{'source_id': 'I4210165038', 'count': 103}, {'source_id': 'I25254941', 'count': 65}, {'source_id': 'I4210164580', 'count': 54}]"
2024,I20089843,1591,"[{'source_id': 'I4210127646', 'count': 60}, {'source_id': 'I130769515', 'count': 51}, {'source_id': 'I157725225', 'count': 43}]"
2025,I122411786,6797,"[{'source_id': 'I4210127646', 'count': 410}, {'source_id': 'I79619799', 'count': 132}, {'source_id': 'I157725225', 'count': 99}]"
2025,I4210127646,3422,"[{'source_id': 'I122411786', 'count': 139}, {'source_id': 'I79619799', 'count': 114}, {'source_id': 'I50441567', 'count': 72}]"
2025,I1294671590,2781,"[{'source_id': 'I4210127646', 'count': 82}, {'source_id': 'I79619799', 'count': 41}, {'source_id': 'I204730241', 'count': 40}]"
2025,I4210126807,1276,"[{'source_id': 'I4210127646', 'count': 87}, {'source_id': 'I122411786', 'count': 37}, {'source_id': 'I50441567', 'count': 23}]"
2025,I20089843,1265,"[{'source_id': 'I4210127646', 'count': 65}, {'source_id': 'I157725225', 'count': 27}, {'source_id': 'I76198965', 'count': 26}]"
