,,target_frequency_this_year,top_3_sources
2013,I53964585,154,"[{'source_id': 'I97018004', 'count': 9}, {'source_id': 'I172675005', 'count': 8}, {'source_id': 'I1341412227', 'count': 7}]"
2013,I86519309,124,"[{'source_id': 'I145311948', 'count': 13}, {'source_id': 'I168719708', 'count': 9}, {'source_id': 'I172675005', 'count': 9}]"
2013,I1341412227,117,"[{'source_id': 'I97018004', 'count': 14}, {'source_id': 'I145311948', 'count': 5}, {'source_id': 'I36258959', 'count': 5}]"
2013,I36258959,113,"[{'source_id': 'I1326498283', 'count': 15}, {'source_id': 'I4210103330', 'count': 15}, {'source_id': 'I97018004', 'count': 13}]"
2014,I97018004,298,"[{'source_id': 'I149594827', 'count': 20}, {'source_id': 'I53964585', 'count': 15}, {'source_id': 'I94624287', 'count': 14}]"
2014,I36258959,130,"[{'source_id': 'I100532134', 'count': 15}, {'source_id': 'I113428412', 'count': 15}, {'source_id': 'I1294671590', 'count': 15}]"
2014,I53964585,123,"[{'source_id': 'I205783295', 'count': 15}, {'source_id': 'I174306211', 'count': 11}, {'source_id': 'I97018004', 'count': 9}]"
2014,I86519309,114,"[{'source_id': 'I73613424', 'count': 10}, {'source_id': 'I4210161954', 'count': 7}, {'source_id': 'I29607241', 'count': 7}]"
2014,I63966007,113,"[{'source_id': 'I174306211', 'count': 15}, {'source_id': 'I149594827', 'count': 12}, {'source_id': 'I66946132', 'count': 6}]"
2015,I97018004,263,"[{'source_id': 'I4210110987', 'count': 13}, {'source_id': 'I86519309', 'count': 12}, {'source_id': 'I19820366', 'count': 11}]"
2015,I1290206253,118,"[{'source_id': 'I111088046', 'count': 8}, {'source_id': 'I4210164937', 'count': 6}, {'source_id': 'I200845125', 'count': 5}]"
2015,I53964585,116,"[{'source_id': 'I174306211', 'count': 7}, {'source_id': 'I97018004', 'count': 7}, {'source_id': 'I66946132', 'count': 6}]"
2015,I1341412227,108,"[{'source_id': 'I1341640284', 'count': 7}, {'source_id': 'I149594827', 'count': 7}, {'source_id': 'I4210110987', 'count': 7}]"
2015,I174306211,105,"[{'source_id': 'I66946132', 'count': 9}, {'source_id': 'I121797337', 'count': 8}, {'source_id': 'I1341640284', 'count': 8}]"
2016,I97018004,217,"[{'source_id': 'I79891267', 'count': 12}, {'source_id': 'I27837315', 'count': 12}, {'source_id': 'I1294671590', 'count': 9}]"
2016,I1341412227,135,"[{'source_id': 'I27837315', 'count': 10}, {'source_id': 'I45129253', 'count': 7}, {'source_id': 'I154570441', 'count': 7}]"
2016,I53964585,133,"[{'source_id': 'I27837315', 'count': 13}, {'source_id': 'I154570441', 'count': 13}, {'source_id': 'I4210101778', 'count': 12}]"
2016,I63966007,114,"[{'source_id': 'I27837315', 'count': 8}, {'source_id': 'I174306211', 'count': 8}, {'source_id': 'I154570441', 'count': 6}]"
2016,I36258959,109,"[{'source_id': 'I27837315', 'count': 14}, {'source_id': 'I113428412', 'count': 10}, {'source_id': 'I4210144566', 'count': 10}]"
2017,I97018004,214,"[{'source_id': 'I1290206253', 'count': 10}, {'source_id': 'I19820366', 'count': 10}, {'source_id': 'I95457486', 'count': 10}]"
2017,I53964585,111,"[{'source_id': 'I154570441', 'count': 9}, {'source_id': 'I13955877', 'count': 7}, {'source_id': 'I1290206253', 'count': 5}]"
2017,I1290206253,105,"[{'source_id': 'I19820366', 'count': 7}, {'source_id': 'I98251732', 'count': 5}, {'source_id': 'I78577930', 'count': 5}]"
2017,I200845125,94,"[{'source_id': 'I163340411', 'count': 12}, {'source_id': 'I19820366', 'count': 11}, {'source_id': 'I4210156404', 'count': 11}]"
2017,I95457486,78,"[{'source_id': 'I154570441', 'count': 10}, {'source_id': 'I891303086', 'count': 5}, {'source_id': 'I19820366', 'count': 5}]"
2018,I97018004,183,"[{'source_id': 'I1294671590', 'count': 16}, {'source_id': 'I29607241', 'count': 16}, {'source_id': 'I1326498283', 'count': 14}]"
2018,I53964585,132,"[{'source_id': 'I97018004', 'count': 9}, {'source_id': 'I13955877', 'count': 8}, {'source_id': 'I1294671590', 'count': 8}]"
2018,I1341412227,125,"[{'source_id': 'I1294671590', 'count': 8}, {'source_id': 'I29607241', 'count': 8}, {'source_id': 'I19700959', 'count': 7}]"
2018,I1294671590,112,"[{'source_id': 'I29607241', 'count': 16}, {'source_id': 'I1326498283', 'count': 11}, {'source_id': 'I4210100258', 'count': 10}]"
2018,I1290206253,102,"[{'source_id': 'I1294671590', 'count': 6}, {'source_id': 'I29607241', 'count': 6}, {'source_id': 'I1326498283', 'count': 5}]"
2019,I97018004,196,"[{'source_id': 'I149594827', 'count': 11}, {'source_id': 'I139264467', 'count': 11}, {'source_id': 'I55952717', 'count': 10}]"
2019,I53964585,104,"[{'source_id': 'I111088046', 'count': 8}, {'source_id': 'I16391192', 'count': 8}, {'source_id': 'I97018004', 'count': 7}]"
2019,I149594827,98,"[{'source_id': 'I4210132990', 'count': 19}, {'source_id': 'I150229711', 'count': 10}, {'source_id': 'I165745306', 'count': 8}]"
2019,I150229711,98,"[{'source_id': 'I165745306', 'count': 15}, {'source_id': 'I172675005', 'count': 15}, {'source_id': 'I4210132990', 'count': 12}]"
2019,I66946132,96,"[{'source_id': 'I138898306', 'count': 6}, {'source_id': 'I4210093787', 'count': 6}, {'source_id': 'I97018004', 'count': 6}]"
2020,I97018004,154,"[{'source_id': 'I27837315', 'count': 10}, {'source_id': 'I4210132990', 'count': 7}, {'source_id': 'I1290206253', 'count': 6}]"
2020,I149594827,108,"[{'source_id': 'I4210132990', 'count': 13}, {'source_id': 'I150229711', 'count': 12}, {'source_id': 'I79891267', 'count': 7}]"
2020,I4210132990,75,"[{'source_id': 'I111753288', 'count': 14}, {'source_id': 'I79891267', 'count': 8}, {'source_id': 'I4210115513', 'count': 7}]"
2020,I174306211,74,"[{'source_id': 'I1290206253', 'count': 10}, {'source_id': 'I97018004', 'count': 9}, {'source_id': 'I134446601', 'count': 8}]"
2020,I86519309,69,"[{'source_id': 'I79891267', 'count': 9}, {'source_id': 'I4210115513', 'count': 8}, {'source_id': 'I1290206253', 'count': 6}]"
2021,I97018004,140,"[{'source_id': 'I150229711', 'count': 7}, {'source_id': 'I60587646', 'count': 6}, {'source_id': 'I161318765', 'count': 5}]"
2021,I149594827,85,"[{'source_id': 'I4210136859', 'count': 11}, {'source_id': 'I63354593', 'count': 5}, {'source_id': 'I41198531', 'count': 5}]"
2021,I53964585,83,"[{'source_id': 'I161318765', 'count': 11}, {'source_id': 'I4210126328', 'count': 6}, {'source_id': 'I36258959', 'count': 4}]"
2021,I1294671590,83,"[{'source_id': 'I4210114444', 'count': 5}, {'source_id': 'I196972281', 'count': 5}, {'source_id': 'I99464096', 'count': 5}]"
2021,I1341412227,76,"[{'source_id': 'I4210126328', 'count': 6}, {'source_id': 'I5124864', 'count': 4}, {'source_id': 'I181647926', 'count': 4}]"
2022,I97018004,148,"[{'source_id': 'I4210087059', 'count': 9}, {'source_id': 'I139264467', 'count': 8}, {'source_id': 'I95457486', 'count': 6}]"
2022,I1290206253,85,"[{'source_id': 'I139264467', 'count': 7}, {'source_id': 'I4210087059', 'count': 6}, {'source_id': 'I95457486', 'count': 5}]"
2022,I53964585,76,"[{'source_id': 'I139264467', 'count': 7}, {'source_id': 'I4210087059', 'count': 5}, {'source_id': 'I121797337', 'count': 4}]"
2022,I1294671590,75,"[{'source_id': 'I4210087059', 'count': 11}, {'source_id': 'I4210124510', 'count': 6}, {'source_id': 'I100532134', 'count': 4}]"
2022,I149594827,69,"[{'source_id': 'I41198531', 'count': 9}, {'source_id': 'I111753288', 'count': 8}, {'source_id': 'I11793825', 'count': 7}]"
2023,I97018004,119,"[{'source_id': 'I149594827', 'count': 11}, {'source_id': 'I12912129', 'count': 6}, {'source_id': 'I82767444', 'count': 5}]"
2023,I139264467,92,"[{'source_id': 'I4210156404', 'count': 14}, {'source_id': 'I4210165038', 'count': 13}, {'source_id': 'I111088046', 'count': 8}]"
2023,I149594827,91,"[{'source_id': 'I4210132990', 'count': 10}, {'source_id': 'I5343935', 'count': 7}, {'source_id': 'I4210150944', 'count': 6}]"
2023,I1290206253,80,"[{'source_id': 'I2250650973', 'count': 5}, {'source_id': 'I4210156404', 'count': 5}, {'source_id': 'I4210165038', 'count': 4}]"
2023,I1341412227,74,"[{'source_id': 'I98677209', 'count': 6}, {'source_id': 'I201448701', 'count': 4}, {'source_id': 'I58610484', 'count': 4}]"
2024,I97018004,102,"[{'source_id': 'I95457486', 'count': 8}, {'source_id': 'I145847075', 'count': 6}, {'source_id': 'I74973139', 'count': 5}]"
2024,I149594827,81,"[{'source_id': 'I111753288', 'count': 15}, {'source_id': 'I4210136859', 'count': 7}, {'source_id': 'I108108428', 'count': 7}]"
2024,I4210132990,66,"[{'source_id': 'I111753288', 'count': 16}, {'source_id': 'I4210153869', 'count': 5}, {'source_id': 'I66867065', 'count': 5}]"
2024,I1294671590,63,"[{'source_id': 'I145847075', 'count': 7}, {'source_id': 'I4210162154', 'count': 4}, {'source_id': 'I200769079', 'count': 3}]"
2024,I36258959,60,"[{'source_id': 'I82880672', 'count': 5}, {'source_id': 'I95457486', 'count': 4}, {'source_id': 'I4210165198', 'count': 4}]"
2025,I97018004,105,"[{'source_id': 'I86519309', 'count': 6}, {'source_id': 'I4210125098', 'count': 5}, {'source_id': 'I80947539', 'count': 4}]"
2025,I149594827,98,"[{'source_id': 'I4210162809', 'count': 11}, {'source_id': 'I80947539', 'count': 9}, {'source_id': 'I1456306', 'count': 8}]"
2025,I4210132990,90,"[{'source_id': 'I80947539', 'count': 12}, {'source_id': 'I111753288', 'count': 8}, {'source_id': 'I4210153869', 'count': 8}]"
2025,I139264467,75,"[{'source_id': 'I4210165038', 'count': 12}, {'source_id': 'I4210125098', 'count': 10}, {'source_id': 'I4210156404', 'count': 9}]"
2025,I150229711,72,"[{'source_id': 'I82880672', 'count': 8}, {'source_id': 'I1456306', 'count': 7}, {'source_id': 'I80947539', 'count': 7}]"
