,,target_frequency_this_year,top_3_sources
2011,I913481162,210,"[{'source_id': 'I137902535', 'count': 19}, {'source_id': 'I4210159946', 'count': 18}, {'source_id': 'I51158804', 'count': 18}]"
2011,I24603500,203,"[{'source_id': 'I4210159946', 'count': 18}, {'source_id': 'I51158804', 'count': 18}, {'source_id': 'I174306211', 'count': 14}]"
2011,I51158804,144,"[{'source_id': 'I4210159946', 'count': 29}, {'source_id': 'I24603500', 'count': 21}, {'source_id': 'I1294671590', 'count': 8}]"
2011,I43406934,128,"[{'source_id': 'I1294671590', 'count': 13}, {'source_id': 'I4210108471', 'count': 13}, {'source_id': 'I2802964274', 'count': 13}]"
2011,I130828816,126,"[{'source_id': 'I90610280', 'count': 22}, {'source_id': 'I4210159946', 'count': 16}, {'source_id': 'I51158804', 'count': 16}]"
2012,I24603500,230,"[{'source_id': 'I4210117966', 'count': 21}, {'source_id': 'I1294671590', 'count': 21}, {'source_id': 'I157492648', 'count': 19}]"
2012,I1294671590,158,"[{'source_id': 'I24603500', 'count': 21}, {'source_id': 'I4210105141', 'count': 13}, {'source_id': 'I4210122902', 'count': 13}]"
2012,I51158804,115,"[{'source_id': 'I4210159946', 'count': 17}, {'source_id': 'I24603500', 'count': 12}, {'source_id': 'I4210152154', 'count': 7}]"
2012,I130828816,105,"[{'source_id': 'I4210117966', 'count': 18}, {'source_id': 'I1294671590', 'count': 18}, {'source_id': 'I90610280', 'count': 13}]"
2012,I913481162,96,"[{'source_id': 'I24603500', 'count': 15}, {'source_id': 'I193662353', 'count': 10}, {'source_id': 'I90610280', 'count': 9}]"
2013,I24603500,383,"[{'source_id': 'I110079840', 'count': 37}, {'source_id': 'I111599522', 'count': 33}, {'source_id': 'I4210152154', 'count': 25}]"
2013,I913481162,282,"[{'source_id': 'I165143802', 'count': 43}, {'source_id': 'I35440088', 'count': 36}, {'source_id': 'I4210109520', 'count': 27}]"
2013,I130828816,179,"[{'source_id': 'I35440088', 'count': 25}, {'source_id': 'I165143802', 'count': 13}, {'source_id': 'I4210166208', 'count': 12}]"
2013,I79817857,144,"[{'source_id': 'I4210166208', 'count': 13}, {'source_id': 'I1292875679', 'count': 13}, {'source_id': 'I56590836', 'count': 11}]"
2013,I1294671590,143,"[{'source_id': 'I24603500', 'count': 20}, {'source_id': 'I4210108471', 'count': 15}, {'source_id': 'I35440088', 'count': 10}]"
2014,I24603500,336,"[{'source_id': 'I111599522', 'count': 46}, {'source_id': 'I90610280', 'count': 33}, {'source_id': 'I99464096', 'count': 32}]"
2014,I51158804,194,"[{'source_id': 'I24603500', 'count': 28}, {'source_id': 'I4210138055', 'count': 13}, {'source_id': 'I165143802', 'count': 13}]"
2014,I913481162,184,"[{'source_id': 'I4210109520', 'count': 23}, {'source_id': 'I24603500', 'count': 13}, {'source_id': 'I90610280', 'count': 13}]"
2014,I90610280,172,"[{'source_id': 'I1320288732', 'count': 17}, {'source_id': 'I154130895', 'count': 17}, {'source_id': 'I169572211', 'count': 12}]"
2014,I79817857,131,"[{'source_id': 'I90610280', 'count': 22}, {'source_id': 'I1320288732', 'count': 14}, {'source_id': 'I154130895', 'count': 14}]"
2015,I24603500,536,"[{'source_id': 'I185163786', 'count': 66}, {'source_id': 'I111599522', 'count': 30}, {'source_id': 'I141766778', 'count': 30}]"
2015,I51158804,188,"[{'source_id': 'I4210159946', 'count': 26}, {'source_id': 'I24603500', 'count': 15}, {'source_id': 'I27577105', 'count': 14}]"
2015,I913481162,154,"[{'source_id': 'I24603500', 'count': 13}, {'source_id': 'I21881038', 'count': 10}, {'source_id': 'I51158804', 'count': 8}]"
2015,I1294671590,147,"[{'source_id': 'I24603500', 'count': 13}, {'source_id': 'I90610280', 'count': 9}, {'source_id': 'I141766778', 'count': 7}]"
2015,I4210159946,133,"[{'source_id': 'I51158804', 'count': 23}, {'source_id': 'I27577105', 'count': 16}, {'source_id': 'I141766778', 'count': 16}]"
2016,I24603500,341,"[{'source_id': 'I47689461', 'count': 38}, {'source_id': 'I4210152154', 'count': 32}, {'source_id': 'I141649914', 'count': 29}]"
2016,I913481162,237,"[{'source_id': 'I24603500', 'count': 37}, {'source_id': 'I90610280', 'count': 27}, {'source_id': 'I51158804', 'count': 18}]"
2016,I111599522,166,"[{'source_id': 'I24603500', 'count': 33}, {'source_id': 'I4210152154', 'count': 24}, {'source_id': 'I52158045', 'count': 13}]"
2016,I4210152154,161,"[{'source_id': 'I24603500', 'count': 37}, {'source_id': 'I141649914', 'count': 22}, {'source_id': 'I111599522', 'count': 14}]"
2016,I90610280,130,"[{'source_id': 'I24603500', 'count': 24}, {'source_id': 'I4210152154', 'count': 20}, {'source_id': 'I141649914', 'count': 11}]"
2017,I24603500,459,"[{'source_id': 'I177605424', 'count': 53}, {'source_id': 'I4210115083', 'count': 37}, {'source_id': 'I15766328', 'count': 29}]"
2017,I111599522,198,"[{'source_id': 'I4210152154', 'count': 26}, {'source_id': 'I24603500', 'count': 19}, {'source_id': 'I90610280', 'count': 12}]"
2017,I4210152154,195,"[{'source_id': 'I24603500', 'count': 24}, {'source_id': 'I90610280', 'count': 15}, {'source_id': 'I111599522', 'count': 12}]"
2017,I90610280,170,"[{'source_id': 'I4210152154', 'count': 21}, {'source_id': 'I111599522', 'count': 18}, {'source_id': 'I115592961', 'count': 15}]"
2017,I130828816,139,"[{'source_id': 'I24603500', 'count': 28}, {'source_id': 'I176453806', 'count': 10}, {'source_id': 'I32597200', 'count': 7}]"
2018,I24603500,367,"[{'source_id': 'I4210152154', 'count': 28}, {'source_id': 'I913481162', 'count': 25}, {'source_id': 'I141649914', 'count': 24}]"
2018,I90610280,256,"[{'source_id': 'I204823248', 'count': 30}, {'source_id': 'I4210152154', 'count': 29}, {'source_id': 'I111599522', 'count': 17}]"
2018,I4210152154,226,"[{'source_id': 'I111599522', 'count': 29}, {'source_id': 'I141649914', 'count': 26}, {'source_id': 'I75059550', 'count': 15}]"
2018,I111599522,198,"[{'source_id': 'I4210152154', 'count': 24}, {'source_id': 'I76130692', 'count': 13}, {'source_id': 'I37574244', 'count': 12}]"
2018,I913481162,157,"[{'source_id': 'I99464096', 'count': 34}, {'source_id': 'I204823248', 'count': 10}, {'source_id': 'I4210138813', 'count': 10}]"
2019,I24603500,381,"[{'source_id': 'I4210152154', 'count': 51}, {'source_id': 'I52158045', 'count': 32}, {'source_id': 'I102345215', 'count': 30}]"
2019,I90610280,304,"[{'source_id': 'I179026463', 'count': 38}, {'source_id': 'I130828816', 'count': 26}, {'source_id': 'I169572211', 'count': 23}]"
2019,I4210152154,253,"[{'source_id': 'I141649914', 'count': 53}, {'source_id': 'I111599522', 'count': 14}, {'source_id': 'I52158045', 'count': 13}]"
2019,I913481162,234,"[{'source_id': 'I35440088', 'count': 25}, {'source_id': 'I4210132387', 'count': 25}, {'source_id': 'I4210108471', 'count': 25}]"
2019,I111599522,225,"[{'source_id': 'I4210152154', 'count': 29}, {'source_id': 'I141649914', 'count': 11}, {'source_id': 'I52158045', 'count': 9}]"
2020,I24603500,377,"[{'source_id': 'I75059550', 'count': 57}, {'source_id': 'I118373667', 'count': 35}, {'source_id': 'I4210152154', 'count': 23}]"
2020,I4210152154,324,"[{'source_id': 'I75059550', 'count': 27}, {'source_id': 'I169572211', 'count': 24}, {'source_id': 'I141649914', 'count': 20}]"
2020,I90610280,281,"[{'source_id': 'I76130692', 'count': 28}, {'source_id': 'I169572211', 'count': 26}, {'source_id': 'I67388046', 'count': 23}]"
2020,I111599522,235,"[{'source_id': 'I169572211', 'count': 21}, {'source_id': 'I115592961', 'count': 14}, {'source_id': 'I75059550', 'count': 12}]"
2020,I913481162,184,"[{'source_id': 'I27577105', 'count': 16}, {'source_id': 'I24603500', 'count': 15}, {'source_id': 'I35440088', 'count': 11}]"
2021,I4210152154,412,"[{'source_id': 'I111599522', 'count': 24}, {'source_id': 'I169572211', 'count': 19}, {'source_id': 'I32597200', 'count': 18}]"
2021,I111599522,401,"[{'source_id': 'I4210152154', 'count': 21}, {'source_id': 'I154425047', 'count': 16}, {'source_id': 'I32597200', 'count': 15}]"
2021,I90610280,374,"[{'source_id': 'I4210152154', 'count': 25}, {'source_id': 'I169572211', 'count': 23}, {'source_id': 'I179026463', 'count': 20}]"
2021,I24603500,306,"[{'source_id': 'I165560825', 'count': 30}, {'source_id': 'I179026463', 'count': 22}, {'source_id': 'I32597200', 'count': 15}]"
2021,I913481162,304,"[{'source_id': 'I4210100913', 'count': 30}, {'source_id': 'I24603500', 'count': 23}, {'source_id': 'I27577105', 'count': 19}]"
2022,I4210152154,385,"[{'source_id': 'I169572211', 'count': 74}, {'source_id': 'I111599522', 'count': 40}, {'source_id': 'I86958956', 'count': 22}]"
2022,I111599522,340,"[{'source_id': 'I169572211', 'count': 49}, {'source_id': 'I4210152154', 'count': 34}, {'source_id': 'I86958956', 'count': 21}]"
2022,I90610280,263,"[{'source_id': 'I169572211', 'count': 53}, {'source_id': 'I111599522', 'count': 16}, {'source_id': 'I4210152154', 'count': 15}]"
2022,I913481162,237,"[{'source_id': 'I169572211', 'count': 17}, {'source_id': 'I4210109520', 'count': 16}, {'source_id': 'I51622183', 'count': 16}]"
2022,I24603500,218,"[{'source_id': 'I182534213', 'count': 26}, {'source_id': 'I4210092303', 'count': 26}, {'source_id': 'I111599522', 'count': 17}]"
2023,I4210152154,519,"[{'source_id': 'I169572211', 'count': 60}, {'source_id': 'I111599522', 'count': 31}, {'source_id': 'I89652312', 'count': 29}]"
2023,I111599522,420,"[{'source_id': 'I169572211', 'count': 53}, {'source_id': 'I4210152154', 'count': 35}, {'source_id': 'I89652312', 'count': 21}]"
2023,I90610280,375,"[{'source_id': 'I169572211', 'count': 35}, {'source_id': 'I4210138501', 'count': 22}, {'source_id': 'I115592961', 'count': 22}]"
2023,I169572211,305,"[{'source_id': 'I4210152154', 'count': 18}, {'source_id': 'I141649914', 'count': 15}, {'source_id': 'I36152291', 'count': 15}]"
2023,I913481162,302,"[{'source_id': 'I4210138501', 'count': 22}, {'source_id': 'I4210152154', 'count': 18}, {'source_id': 'I4210138055', 'count': 15}]"
2024,I4210152154,377,"[{'source_id': 'I169572211', 'count': 52}, {'source_id': 'I141649914', 'count': 20}, {'source_id': 'I52158045', 'count': 20}]"
2024,I169572211,339,"[{'source_id': 'I4210152154', 'count': 20}, {'source_id': 'I141649914', 'count': 19}, {'source_id': 'I31746571', 'count': 13}]"
2024,I111599522,338,"[{'source_id': 'I169572211', 'count': 38}, {'source_id': 'I204823248', 'count': 18}, {'source_id': 'I52158045', 'count': 15}]"
2024,I90610280,207,"[{'source_id': 'I169572211', 'count': 22}, {'source_id': 'I4210152154', 'count': 14}, {'source_id': 'I141649914', 'count': 13}]"
2024,I24603500,196,"[{'source_id': 'I169572211', 'count': 15}, {'source_id': 'I157650460', 'count': 12}, {'source_id': 'I4210119410', 'count': 10}]"
2025,I4210152154,475,"[{'source_id': 'I169572211', 'count': 55}, {'source_id': 'I179026463', 'count': 27}, {'source_id': 'I141649914', 'count': 20}]"
2025,I169572211,474,"[{'source_id': 'I4210152154', 'count': 40}, {'source_id': 'I111599522', 'count': 27}, {'source_id': 'I179026463', 'count': 19}]"
2025,I111599522,371,"[{'source_id': 'I169572211', 'count': 52}, {'source_id': 'I179026463', 'count': 18}, {'source_id': 'I78978612', 'count': 17}]"
2025,I90610280,240,"[{'source_id': 'I169572211', 'count': 28}, {'source_id': 'I179026463', 'count': 17}, {'source_id': 'I141945490', 'count': 16}]"
2025,I24603500,180,"[{'source_id': 'I4210152154', 'count': 13}, {'source_id': 'I342702707', 'count': 10}, {'source_id': 'I134892692', 'count': 10}]"
