,,target_frequency_this_year,top_3_sources
2009,I74973139,650,"[{'source_id': 'I97018004', 'count': 22}, {'source_id': 'I27837315', 'count': 22}, {'source_id': 'I55732556', 'count': 20}]"
2010,I27837315,1461,"[{'source_id': 'I19820366', 'count': 32}, {'source_id': 'I1294671590', 'count': 26}, {'source_id': 'I134940468', 'count': 26}]"
2010,I1308548392,1316,"[{'source_id': 'I1294671590', 'count': 28}, {'source_id': 'I134940468', 'count': 23}, {'source_id': 'I19820366', 'count': 22}]"
2010,I205783295,1237,"[{'source_id': 'I1294671590', 'count': 23}, {'source_id': 'I39422238', 'count': 22}, {'source_id': 'I97018004', 'count': 20}]"
2010,I107639228,1019,"[{'source_id': 'I24943067', 'count': 26}, {'source_id': 'I47508984', 'count': 18}, {'source_id': 'I139759216', 'count': 16}]"
2010,I74973139,810,"[{'source_id': 'I97018004', 'count': 34}, {'source_id': 'I185261750', 'count': 34}, {'source_id': 'I55732556', 'count': 23}]"
2011,I27837315,1472,"[{'source_id': 'I1294671590', 'count': 38}, {'source_id': 'I134940468', 'count': 23}, {'source_id': 'I153976015', 'count': 23}]"
2011,I1308548392,1344,"[{'source_id': 'I27837315', 'count': 27}, {'source_id': 'I17974374', 'count': 27}, {'source_id': 'I1294671590', 'count': 27}]"
2011,I205783295,1292,"[{'source_id': 'I74973139', 'count': 26}, {'source_id': 'I12912129', 'count': 23}, {'source_id': 'I1325784139', 'count': 23}]"
2011,I107639228,1077,"[{'source_id': 'I150229711', 'count': 31}, {'source_id': 'I17974374', 'count': 31}, {'source_id': 'I12912129', 'count': 26}]"
2011,I74973139,833,"[{'source_id': 'I97018004', 'count': 28}, {'source_id': 'I1325784139', 'count': 22}, {'source_id': 'I4210134091', 'count': 18}]"
2012,I27837315,1384,"[{'source_id': 'I149594827', 'count': 28}, {'source_id': 'I74973139', 'count': 28}, {'source_id': 'I17974374', 'count': 27}]"
2012,I205783295,1262,"[{'source_id': 'I97018004', 'count': 40}, {'source_id': 'I74973139', 'count': 31}, {'source_id': 'I55732556', 'count': 19}]"
2012,I1308548392,1237,"[{'source_id': 'I74973139', 'count': 22}, {'source_id': 'I150229711', 'count': 22}, {'source_id': 'I111979921', 'count': 16}]"
2012,I74973139,943,"[{'source_id': 'I97018004', 'count': 42}, {'source_id': 'I2252078561', 'count': 33}, {'source_id': 'I4210114444', 'count': 31}]"
2012,I107639228,850,"[{'source_id': 'I12912129', 'count': 23}, {'source_id': 'I150229711', 'count': 20}, {'source_id': 'I111979921', 'count': 13}]"
2013,I27837315,1386,"[{'source_id': 'I149594827', 'count': 26}, {'source_id': 'I165799507', 'count': 20}, {'source_id': 'I1294671590', 'count': 20}]"
2013,I1308548392,1220,"[{'source_id': 'I27837315', 'count': 30}, {'source_id': 'I1294671590', 'count': 19}, {'source_id': 'I149594827', 'count': 17}]"
2013,I205783295,1194,"[{'source_id': 'I97018004', 'count': 26}, {'source_id': 'I19820366', 'count': 24}, {'source_id': 'I27837315', 'count': 23}]"
2013,I107639228,882,"[{'source_id': 'I12912129', 'count': 31}, {'source_id': 'I82880672', 'count': 16}, {'source_id': 'I111088046', 'count': 15}]"
2013,I74973139,832,"[{'source_id': 'I859038795', 'count': 21}, {'source_id': 'I97018004', 'count': 20}, {'source_id': 'I142476485', 'count': 15}]"
2014,I27837315,1467,"[{'source_id': 'I149594827', 'count': 33}, {'source_id': 'I27357992', 'count': 29}, {'source_id': 'I4210119109', 'count': 25}]"
2014,I205783295,1164,"[{'source_id': 'I149594827', 'count': 30}, {'source_id': 'I55732556', 'count': 21}, {'source_id': 'I19820366', 'count': 20}]"
2014,I1308548392,1140,"[{'source_id': 'I4210119109', 'count': 27}, {'source_id': 'I27357992', 'count': 24}, {'source_id': 'I149594827', 'count': 23}]"
2014,I97018004,811,"[{'source_id': 'I74973139', 'count': 20}, {'source_id': 'I55732556', 'count': 16}, {'source_id': 'I1294671590', 'count': 16}]"
2014,I74973139,795,"[{'source_id': 'I157485424', 'count': 24}, {'source_id': 'I97018004', 'count': 23}, {'source_id': 'I99065089', 'count': 19}]"
2015,I27837315,1269,"[{'source_id': 'I149594827', 'count': 32}, {'source_id': 'I82880672', 'count': 28}, {'source_id': 'I150229711', 'count': 26}]"
2015,I205783295,1207,"[{'source_id': 'I99065089', 'count': 33}, {'source_id': 'I149594827', 'count': 26}, {'source_id': 'I82880672', 'count': 23}]"
2015,I1308548392,989,"[{'source_id': 'I82880672', 'count': 23}, {'source_id': 'I150229711', 'count': 17}, {'source_id': 'I149594827', 'count': 17}]"
2015,I97018004,894,"[{'source_id': 'I99065089', 'count': 33}, {'source_id': 'I74973139', 'count': 20}, {'source_id': 'I19820366', 'count': 18}]"
2015,I74973139,837,"[{'source_id': 'I99065089', 'count': 29}, {'source_id': 'I859038795', 'count': 14}, {'source_id': 'I19820366', 'count': 13}]"
2016,I27837315,1309,"[{'source_id': 'I149594827', 'count': 43}, {'source_id': 'I150229711', 'count': 30}, {'source_id': 'I111088046', 'count': 19}]"
2016,I205783295,1044,"[{'source_id': 'I97018004', 'count': 21}, {'source_id': 'I99065089', 'count': 21}, {'source_id': 'I149594827', 'count': 19}]"
2016,I1308548392,1039,"[{'source_id': 'I150229711', 'count': 29}, {'source_id': 'I149594827', 'count': 26}, {'source_id': 'I163151501', 'count': 16}]"
2016,I97018004,938,"[{'source_id': 'I1294671590', 'count': 23}, {'source_id': 'I277688954', 'count': 19}, {'source_id': 'I2738703131', 'count': 18}]"
2016,I74973139,902,"[{'source_id': 'I99065089', 'count': 25}, {'source_id': 'I142476485', 'count': 24}, {'source_id': 'I27837315', 'count': 20}]"
2017,I27837315,1467,"[{'source_id': 'I150229711', 'count': 39}, {'source_id': 'I149594827', 'count': 30}, {'source_id': 'I166337079', 'count': 20}]"
2017,I205783295,1086,"[{'source_id': 'I149594827', 'count': 16}, {'source_id': 'I25254941', 'count': 14}, {'source_id': 'I166337079', 'count': 14}]"
2017,I74973139,1044,"[{'source_id': 'I157725225', 'count': 43}, {'source_id': 'I161318765', 'count': 41}, {'source_id': 'I185103710', 'count': 39}]"
2017,I97018004,1028,"[{'source_id': 'I27837315', 'count': 16}, {'source_id': 'I157725225', 'count': 15}, {'source_id': 'I4210119109', 'count': 14}]"
2017,I1308548392,979,"[{'source_id': 'I150229711', 'count': 28}, {'source_id': 'I149594827', 'count': 23}, {'source_id': 'I166337079', 'count': 20}]"
2018,I27837315,1448,"[{'source_id': 'I149594827', 'count': 30}, {'source_id': 'I176279760', 'count': 28}, {'source_id': 'I150229711', 'count': 28}]"
2018,I1308548392,1051,"[{'source_id': 'I176279760', 'count': 31}, {'source_id': 'I149594827', 'count': 24}, {'source_id': 'I150229711', 'count': 21}]"
2018,I205783295,1013,"[{'source_id': 'I149594827', 'count': 16}, {'source_id': 'I150229711', 'count': 13}, {'source_id': 'I176279760', 'count': 11}]"
2018,I97018004,1010,"[{'source_id': 'I99065089', 'count': 16}, {'source_id': 'I205783295', 'count': 15}, {'source_id': 'I19820366', 'count': 15}]"
2018,I74973139,893,"[{'source_id': 'I859038795', 'count': 24}, {'source_id': 'I139264467', 'count': 18}, {'source_id': 'I1282311441', 'count': 18}]"
2019,I27837315,1290,"[{'source_id': 'I150229711', 'count': 33}, {'source_id': 'I149594827', 'count': 22}, {'source_id': 'I17145004', 'count': 20}]"
2019,I205783295,1048,"[{'source_id': 'I150229711', 'count': 26}, {'source_id': 'I149594827', 'count': 24}, {'source_id': 'I47720641', 'count': 15}]"
2019,I97018004,1043,"[{'source_id': 'I150229711', 'count': 33}, {'source_id': 'I172675005', 'count': 21}, {'source_id': 'I56404289', 'count': 16}]"
2019,I1308548392,913,"[{'source_id': 'I150229711', 'count': 32}, {'source_id': 'I149594827', 'count': 19}, {'source_id': 'I63966007', 'count': 18}]"
2019,I74973139,696,"[{'source_id': 'I150229711', 'count': 19}, {'source_id': 'I56404289', 'count': 15}, {'source_id': 'I91357014', 'count': 15}]"
2020,I27837315,1278,"[{'source_id': 'I150229711', 'count': 44}, {'source_id': 'I4210128584', 'count': 21}, {'source_id': 'I51601045', 'count': 15}]"
2020,I97018004,1053,"[{'source_id': 'I150229711', 'count': 44}, {'source_id': 'I56404289', 'count': 16}, {'source_id': 'I91357014', 'count': 16}]"
2020,I205783295,917,"[{'source_id': 'I150229711', 'count': 32}, {'source_id': 'I157485424', 'count': 22}, {'source_id': 'I170215575', 'count': 10}]"
2020,I1308548392,819,"[{'source_id': 'I150229711', 'count': 24}, {'source_id': 'I4210128584', 'count': 14}, {'source_id': 'I149594827', 'count': 13}]"
2020,I74973139,682,"[{'source_id': 'I157485424', 'count': 27}, {'source_id': 'I160992636', 'count': 11}, {'source_id': 'I10535382', 'count': 11}]"
2021,I27837315,1296,"[{'source_id': 'I150229711', 'count': 25}, {'source_id': 'I16835326', 'count': 20}, {'source_id': 'I149594827', 'count': 19}]"
2021,I97018004,1007,"[{'source_id': 'I150229711', 'count': 34}, {'source_id': 'I27837315', 'count': 23}, {'source_id': 'I99065089', 'count': 19}]"
2021,I205783295,1001,"[{'source_id': 'I150229711', 'count': 19}, {'source_id': 'I2277624104', 'count': 17}, {'source_id': 'I193223587', 'count': 15}]"
2021,I1308548392,904,"[{'source_id': 'I126520041', 'count': 22}, {'source_id': 'I149594827', 'count': 16}, {'source_id': 'I16835326', 'count': 14}]"
2021,I1294671590,676,"[{'source_id': 'I193223587', 'count': 15}, {'source_id': 'I2277624104', 'count': 15}, {'source_id': 'I143002897', 'count': 14}]"
2022,I27837315,1283,"[{'source_id': 'I60858718', 'count': 27}, {'source_id': 'I150229711', 'count': 20}, {'source_id': 'I149594827', 'count': 16}]"
2022,I205783295,966,"[{'source_id': 'I149594827', 'count': 14}, {'source_id': 'I157773358', 'count': 13}, {'source_id': 'I148128674', 'count': 12}]"
2022,I97018004,939,"[{'source_id': 'I198945027', 'count': 14}, {'source_id': 'I148128674', 'count': 11}, {'source_id': 'I1294671590', 'count': 11}]"
2022,I1308548392,891,"[{'source_id': 'I114531698', 'count': 19}, {'source_id': 'I60858718', 'count': 18}, {'source_id': 'I150229711', 'count': 13}]"
2022,I150229711,791,"[{'source_id': 'I148128674', 'count': 39}, {'source_id': 'I142108993', 'count': 36}, {'source_id': 'I24185976', 'count': 20}]"
2023,I27837315,1011,"[{'source_id': 'I198945027', 'count': 18}, {'source_id': 'I149594827', 'count': 18}, {'source_id': 'I143868143', 'count': 15}]"
2023,I97018004,863,"[{'source_id': 'I149594827', 'count': 14}, {'source_id': 'I170215575', 'count': 14}, {'source_id': 'I157485424', 'count': 14}]"
2023,I205783295,849,"[{'source_id': 'I157485424', 'count': 22}, {'source_id': 'I157773358', 'count': 13}, {'source_id': 'I150229711', 'count': 12}]"
2023,I150229711,775,"[{'source_id': 'I170215575', 'count': 19}, {'source_id': 'I189210763', 'count': 17}, {'source_id': 'I28407311', 'count': 16}]"
2023,I1308548392,705,"[{'source_id': 'I37461747', 'count': 13}, {'source_id': 'I124601658', 'count': 10}, {'source_id': 'I4403928193', 'count': 10}]"
2024,I27837315,1043,"[{'source_id': 'I157773358', 'count': 19}, {'source_id': 'I4210135521', 'count': 18}, {'source_id': 'I170215575', 'count': 15}]"
2024,I150229711,836,"[{'source_id': 'I39333907', 'count': 27}, {'source_id': 'I170215575', 'count': 26}, {'source_id': 'I4210131147', 'count': 23}]"
2024,I205783295,749,"[{'source_id': 'I170215575', 'count': 21}, {'source_id': 'I157773358', 'count': 14}, {'source_id': 'I150229711', 'count': 13}]"
2024,I1308548392,729,"[{'source_id': 'I17145004', 'count': 16}, {'source_id': 'I4210135521', 'count': 16}, {'source_id': 'I170215575', 'count': 15}]"
2024,I1294671590,689,"[{'source_id': 'I198945027', 'count': 29}, {'source_id': 'I193223587', 'count': 22}, {'source_id': 'I2277624104', 'count': 15}]"
2025,I27837315,869,"[{'source_id': 'I121797337', 'count': 13}, {'source_id': 'I25254941', 'count': 12}, {'source_id': 'I23923803', 'count': 12}]"
2025,I150229711,712,"[{'source_id': 'I126520041', 'count': 28}, {'source_id': 'I22716506', 'count': 20}, {'source_id': 'I4210128140', 'count': 15}]"
2025,I1308548392,638,"[{'source_id': 'I25254941', 'count': 19}, {'source_id': 'I121797337', 'count': 8}, {'source_id': 'I50632499', 'count': 7}]"
2025,I205783295,635,"[{'source_id': 'I25254941', 'count': 16}, {'source_id': 'I4210108754', 'count': 12}, {'source_id': 'I170215575', 'count': 8}]"
2025,I1294671590,609,"[{'source_id': 'I143002897', 'count': 26}, {'source_id': 'I21491767', 'count': 16}, {'source_id': 'I4210150928', 'count': 16}]"
