,name,country,coords
https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",US,"(40.48622, -74.45182)"
https://openalex.org/I174216632,City University of New York,US,"(40.71427, -74.00597)"
https://openalex.org/I4210149507,École des Neurosciences de Paris,FR,"(48.85340881347656, 2.34879994392395)"
https://openalex.org/I79891267,Singapore Management University,SG,"(1.2896699905395508, 103.85006713867188)"
https://openalex.org/I159948400,Jinan University,CN,"(23.116670608520508, 113.25)"
https://openalex.org/I100532134,Université Claude Bernard Lyon 1,FR,"(45.76601, 4.8795)"
https://openalex.org/I113428412,École Normale Supérieure de Lyon,FR,"(45.74906, 4.84789)"
https://openalex.org/I45438204,The University of Texas at San Antonio,US,"(29.42412, -98.49363)"
https://openalex.org/I859038795,Virginia Tech,US,"(37.22957, -80.41394)"
https://openalex.org/I20382870,Missouri University of Science and Technology,US,"(37.95143127441406, -91.77127075195312)"
https://openalex.org/I4654613,University of Warsaw,PL,"(52.22977, 21.01178)"
https://openalex.org/I94624287,University of Twente,NL,"(52.21833, 6.89583)"
https://openalex.org/I149594827,Xidian University,CN,"(34.258331298828125, 108.9286117553711)"
https://openalex.org/I92403157,University of Science and Technology Beijing,CN,"(39.907501220703125, 116.39723205566406)"
https://openalex.org/I57328836,North Dakota State University,US,"(46.87718963623047, -96.78980255126953)"
https://openalex.org/I200845125,Nanjing University of Information Science and Technology,CN,"(32.06167, 118.77778)"
https://openalex.org/I63190737,"University at Buffalo, State University of New York",US,"(42.88645, -78.87837)"
https://openalex.org/I121797337,Leiden University,NL,"(52.158329010009766, 4.493060111999512)"
https://openalex.org/I41641357,Ege University,TR,"(38.4127311706543, 27.13838005065918)"
https://openalex.org/I55215948,Tata Consultancy Services (India),IN,"(18.519569396972656, 73.8553466796875)"
https://openalex.org/I39422238,University of Illinois Chicago,US,"(41.85003, -87.65005)"
https://openalex.org/I27837315,University of Michigan–Ann Arbor,US,"(42.27756, -83.74088)"
https://openalex.org/I109147379,NXP (Netherlands),NL,"(51.44083023071289, 5.477779865264893)"
https://openalex.org/I4210123704,NXP (Germany),DE,"(53.582916259765625, 9.95726490020752)"
https://openalex.org/I154864474,National Taiwan University of Science and Technology,TW,"(25.01368522644043, 121.54053497314453)"
https://openalex.org/I4210156404,Institute of Information Engineering,CN,"(39.907501220703125, 116.39723205566406)"
https://openalex.org/I19820366,Chinese Academy of Sciences,CN,"(39.9075, 116.39723)"
https://openalex.org/I150229711,University of Electronic Science and Technology of China,CN,"(30.666669845581055, 104.0666732788086)"
https://openalex.org/I139264467,Seoul National University,KR,"(37.566, 126.9784)"
https://openalex.org/I45129253,University College London,GB,"(51.50853, -0.12574)"
https://openalex.org/I277688954,Université Paris-Saclay,FR,"(48.68333, 2.13333)"
https://openalex.org/I195731000,Université de Versailles Saint-Quentin-en-Yvelines,FR,"(48.80359, 2.13424)"
https://openalex.org/I4210155549,Laboratoire de Mathématiques Blaise Pascal,FR,"(45.75082, 3.11078)"
https://openalex.org/I204136569,The Open University,GB,"(52.04172134399414, -0.7558299899101257)"
https://openalex.org/I118347220,NEC (Japan),JP,"(35.68949890136719, 139.69171142578125)"
https://openalex.org/I138898306,Reichman University,IL,"(32.1662712097168, 34.82535934448242)"
https://openalex.org/I4210093787,Herzliya Medical Center,IL,"(32.17845153808594, 34.80287551879883)"
https://openalex.org/I163340411,Hohai University,CN,"(32.061668395996094, 118.77777862548828)"
https://openalex.org/I2746051580,Université Paris Sciences et Lettres,FR,"(48.85341, 2.3488)"
https://openalex.org/I4210152380,Shenzhen Technology University,CN,"(22.54553985595703, 114.06829833984375)"
https://openalex.org/I180726961,Shenzhen University,CN,"(22.54553985595703, 114.06829833984375)"
https://openalex.org/I111088046,Boston University,US,"(42.35843, -71.05977)"
https://openalex.org/I66867065,East China Normal University,CN,"(31.222219467163086, 121.45806121826172)"
https://openalex.org/I37987034,Guangzhou University,CN,"(23.116670608520508, 113.25)"
https://openalex.org/I95583923,Direction Générale de l'Armement,FR,"(48.85340881347656, 2.34879994392395)"
https://openalex.org/I56067802,Université de Rennes,FR,"(48.11109, -1.67431)"
https://openalex.org/I102335020,Karlsruhe Institute of Technology,DE,"(49.00937, 8.40444)"
https://openalex.org/I101479585,South China Agricultural University,CN,"(23.116670608520508, 113.25)"
https://openalex.org/I123534392,University of North Texas,US,"(33.21484, -97.13307)"
https://openalex.org/I219193219,Purdue University West Lafayette,US,"(40.42587, -86.90807)"
https://openalex.org/I5388228,University of Rochester,US,"(43.15478, -77.61556)"
https://openalex.org/I56722557,Trinity College,US,"(41.763710021972656, -72.68508911132812)"
