,,source_frequency_this_year,top_3_targets
2014,I90610280,1182,"[{'target_id': 'I24603500', 'count': 43}, {'target_id': 'I130828816', 'count': 29}, {'target_id': 'I913481162', 'count': 26}]"
2015,I4210152154,2015,"[{'target_id': 'I24603500', 'count': 117}, {'target_id': 'I111599522', 'count': 88}, {'target_id': 'I90610280', 'count': 43}]"
2015,I24603500,1962,"[{'target_id': 'I913481162', 'count': 43}, {'target_id': 'I1294671590', 'count': 35}, {'target_id': 'I1292875679', 'count': 33}]"
2015,I111599522,1884,"[{'target_id': 'I24603500', 'count': 110}, {'target_id': 'I4210152154', 'count': 76}, {'target_id': 'I90610280', 'count': 43}]"
2015,I913481162,1101,"[{'target_id': 'I4210109520', 'count': 58}, {'target_id': 'I24603500', 'count': 43}, {'target_id': 'I1294671590', 'count': 38}]"
2015,I27577105,1031,"[{'target_id': 'I24603500', 'count': 56}, {'target_id': 'I51158804', 'count': 39}, {'target_id': 'I141766778', 'count': 28}]"
2016,I24603500,2858,"[{'target_id': 'I4210152154', 'count': 76}, {'target_id': 'I111599522', 'count': 61}, {'target_id': 'I913481162', 'count': 55}]"
2016,I4210152154,1589,"[{'target_id': 'I24603500', 'count': 118}, {'target_id': 'I111599522', 'count': 72}, {'target_id': 'I90610280', 'count': 41}]"
2016,I52158045,1401,"[{'target_id': 'I24603500', 'count': 80}, {'target_id': 'I90610280', 'count': 31}, {'target_id': 'I4210152154', 'count': 26}]"
2016,I913481162,1104,"[{'target_id': 'I4210109520', 'count': 45}, {'target_id': 'I24603500', 'count': 37}, {'target_id': 'I130828816', 'count': 34}]"
2016,I111599522,1102,"[{'target_id': 'I4210152154', 'count': 56}, {'target_id': 'I24603500', 'count': 37}, {'target_id': 'I90610280', 'count': 28}]"
2017,I4210152154,2287,"[{'target_id': 'I24603500', 'count': 215}, {'target_id': 'I111599522', 'count': 134}, {'target_id': 'I90610280', 'count': 57}]"
2017,I24603500,2015,"[{'target_id': 'I913481162', 'count': 47}, {'target_id': 'I130828816', 'count': 44}, {'target_id': 'I4210152154', 'count': 40}]"
2017,I111599522,1729,"[{'target_id': 'I24603500', 'count': 147}, {'target_id': 'I4210152154', 'count': 74}, {'target_id': 'I79817857', 'count': 43}]"
2017,I67388046,1226,"[{'target_id': 'I24603500', 'count': 78}, {'target_id': 'I174306211', 'count': 23}, {'target_id': 'I23946033', 'count': 21}]"
2017,I52158045,980,"[{'target_id': 'I24603500', 'count': 41}, {'target_id': 'I4210147002', 'count': 20}, {'target_id': 'I1312222531', 'count': 19}]"
2018,I4210152154,2552,"[{'target_id': 'I111599522', 'count': 160}, {'target_id': 'I24603500', 'count': 92}, {'target_id': 'I141649914', 'count': 78}]"
2018,I111599522,2316,"[{'target_id': 'I4210152154', 'count': 173}, {'target_id': 'I24603500', 'count': 87}, {'target_id': 'I90610280', 'count': 55}]"
2018,I24603500,1595,"[{'target_id': 'I111599522', 'count': 41}, {'target_id': 'I51158804', 'count': 38}, {'target_id': 'I4210159946', 'count': 32}]"
2018,I52158045,1298,"[{'target_id': 'I24603500', 'count': 66}, {'target_id': 'I111599522', 'count': 25}, {'target_id': 'I90610280', 'count': 23}]"
2018,I169572211,1080,"[{'target_id': 'I24603500', 'count': 51}, {'target_id': 'I90610280', 'count': 44}, {'target_id': 'I4210152154', 'count': 36}]"
2019,I4210152154,3549,"[{'target_id': 'I24603500', 'count': 197}, {'target_id': 'I111599522', 'count': 196}, {'target_id': 'I141649914', 'count': 122}]"
2019,I111599522,2478,"[{'target_id': 'I4210152154', 'count': 166}, {'target_id': 'I24603500', 'count': 105}, {'target_id': 'I90610280', 'count': 67}]"
2019,I169572211,2143,"[{'target_id': 'I90610280', 'count': 90}, {'target_id': 'I24603500', 'count': 81}, {'target_id': 'I4210152154', 'count': 65}]"
2019,I52158045,1549,"[{'target_id': 'I24603500', 'count': 66}, {'target_id': 'I51158804', 'count': 36}, {'target_id': 'I90610280', 'count': 33}]"
2019,I204823248,1312,"[{'target_id': 'I4210152154', 'count': 44}, {'target_id': 'I111599522', 'count': 43}, {'target_id': 'I90610280', 'count': 41}]"
2020,I169572211,3232,"[{'target_id': 'I4210152154', 'count': 147}, {'target_id': 'I90610280', 'count': 128}, {'target_id': 'I111599522', 'count': 123}]"
2020,I4210152154,2503,"[{'target_id': 'I141649914', 'count': 138}, {'target_id': 'I111599522', 'count': 129}, {'target_id': 'I24603500', 'count': 110}]"
2020,I111599522,1667,"[{'target_id': 'I4210152154', 'count': 117}, {'target_id': 'I24603500', 'count': 72}, {'target_id': 'I90610280', 'count': 55}]"
2020,I90610280,1625,"[{'target_id': 'I24603500', 'count': 42}, {'target_id': 'I130828816', 'count': 36}, {'target_id': 'I52158045', 'count': 32}]"
2020,I204823248,1540,"[{'target_id': 'I90610280', 'count': 66}, {'target_id': 'I4210152154', 'count': 60}, {'target_id': 'I111599522', 'count': 52}]"
2021,I4210152154,4205,"[{'target_id': 'I111599522', 'count': 243}, {'target_id': 'I90610280', 'count': 162}, {'target_id': 'I141649914', 'count': 151}]"
2021,I111599522,3623,"[{'target_id': 'I4210152154', 'count': 248}, {'target_id': 'I90610280', 'count': 150}, {'target_id': 'I52158045', 'count': 111}]"
2021,I169572211,3337,"[{'target_id': 'I4210152154', 'count': 155}, {'target_id': 'I90610280', 'count': 140}, {'target_id': 'I111599522', 'count': 123}]"
2021,I913481162,1965,"[{'target_id': 'I4210109520', 'count': 102}, {'target_id': 'I32625721', 'count': 44}, {'target_id': 'I4210152154', 'count': 33}]"
2021,I4210159946,1603,"[{'target_id': 'I51158804', 'count': 195}, {'target_id': 'I24603500', 'count': 35}, {'target_id': 'I913481162', 'count': 33}]"
2022,I169572211,5280,"[{'target_id': 'I4210152154', 'count': 303}, {'target_id': 'I90610280', 'count': 236}, {'target_id': 'I111599522', 'count': 229}]"
2022,I4210152154,4019,"[{'target_id': 'I111599522', 'count': 274}, {'target_id': 'I24603500', 'count': 138}, {'target_id': 'I141649914', 'count': 127}]"
2022,I111599522,3396,"[{'target_id': 'I4210152154', 'count': 270}, {'target_id': 'I52158045', 'count': 126}, {'target_id': 'I24603500', 'count': 104}]"
2022,I141649914,1697,"[{'target_id': 'I4210152154', 'count': 160}, {'target_id': 'I111599522', 'count': 70}, {'target_id': 'I24603500', 'count': 53}]"
2022,I4210151987,1443,"[{'target_id': 'I4210152154', 'count': 57}, {'target_id': 'I44675526', 'count': 54}, {'target_id': 'I4210099012', 'count': 47}]"
2023,I169572211,6035,"[{'target_id': 'I4210152154', 'count': 325}, {'target_id': 'I111599522', 'count': 287}, {'target_id': 'I90610280', 'count': 203}]"
2023,I4210152154,4209,"[{'target_id': 'I111599522', 'count': 323}, {'target_id': 'I141649914', 'count': 140}, {'target_id': 'I169572211', 'count': 113}]"
2023,I111599522,3334,"[{'target_id': 'I4210152154', 'count': 304}, {'target_id': 'I52158045', 'count': 98}, {'target_id': 'I90610280', 'count': 97}]"
2023,I52158045,1959,"[{'target_id': 'I4210152154', 'count': 62}, {'target_id': 'I169572211', 'count': 57}, {'target_id': 'I111599522', 'count': 51}]"
2023,I4210151987,1778,"[{'target_id': 'I4210152154', 'count': 72}, {'target_id': 'I44675526', 'count': 65}, {'target_id': 'I111599522', 'count': 60}]"
2024,I169572211,6375,"[{'target_id': 'I4210152154', 'count': 330}, {'target_id': 'I111599522', 'count': 275}, {'target_id': 'I90610280', 'count': 175}]"
2024,I4210152154,3987,"[{'target_id': 'I111599522', 'count': 297}, {'target_id': 'I141649914', 'count': 148}, {'target_id': 'I169572211', 'count': 134}]"
2024,I111599522,3144,"[{'target_id': 'I4210152154', 'count': 282}, {'target_id': 'I169572211', 'count': 86}, {'target_id': 'I52158045', 'count': 79}]"
2024,I4210151987,2250,"[{'target_id': 'I4210152154', 'count': 97}, {'target_id': 'I169572211', 'count': 78}, {'target_id': 'I111599522', 'count': 77}]"
2024,I204823248,2090,"[{'target_id': 'I4210152154', 'count': 104}, {'target_id': 'I111599522', 'count': 98}, {'target_id': 'I169572211', 'count': 58}]"
2025,I169572211,6375,"[{'target_id': 'I4210152154', 'count': 313}, {'target_id': 'I111599522', 'count': 282}, {'target_id': 'I90610280', 'count': 156}]"
2025,I4210152154,2413,"[{'target_id': 'I111599522', 'count': 163}, {'target_id': 'I169572211', 'count': 146}, {'target_id': 'I141649914', 'count': 131}]"
2025,I111599522,1744,"[{'target_id': 'I4210152154', 'count': 128}, {'target_id': 'I169572211', 'count': 84}, {'target_id': 'I90610280', 'count': 49}]"
2025,I179026463,1529,"[{'target_id': 'I4210152154', 'count': 91}, {'target_id': 'I169572211', 'count': 72}, {'target_id': 'I111599522', 'count': 68}]"
2025,I204823248,1515,"[{'target_id': 'I4210152154', 'count': 84}, {'target_id': 'I111599522', 'count': 67}, {'target_id': 'I169572211', 'count': 65}]"
